pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,835.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,836.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,836.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,837.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,837.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,837.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,838.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,839.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,839.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,840.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,840.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,841.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,842.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,843.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,843.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,843.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,844.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,844.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,844.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,846.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,846.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,846.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,847.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,847.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,847.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,848.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,849.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,849.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,850.14
