feature,importance
log_distance,1.7816220733277621
weight,0.003284189085958733
equip_Dry_Van,0.0031377514610642456
equip_Reefer,0.002572024863493986
calc_distance,0.0015997728731004246
delivery_lat,0.001272835705406557
pickup_lat,0.0011060866674001597
market_index,0.00035557577382117067
equip_Flatbed,0.00022584151285306073
quote_signal,0.00014638983132930772
month,2.6740080521133375e-05
route_circuity,4.8181143163702105e-06
market_index_missing,2.9962679226613886e-07
day_of_week,-8.78586572938822e-07
weight_missing,-1.1080185969847278e-06
day_of_year,-8.26552044578636e-06
distance,-8.310084445795063e-06
delivery_lon,-1.3351271237767767e-05
pickup_lon,-1.5557766576172288e-05
